# id,lat,lon,dbh,h1,h2,h3,aspect,slope,date,observer,wpDamage,canopy,dfAssoc,comments
id,lat,lon,dbh,h1,h2,h3,aspect,slope,date,comments,wp,canopy,dfAssociated,observer
2021-122,47.554201,-122.251041,4,0,0,1.5,NA,NA,2021-08-04,,NA,NA,NA,all
2021-123,47.554223,-122.251185,19,0,1.5,3,NA,NA,2021-08-04,36'11" from trail,NA,NA,NA,all
2021-142,47.559343,-122.25162,28,0,0,1.5,NA,NA,2021-08-09,15'11" from trail,NA,NA,NA,all
2021-143,47.55932,-122.251663,4,0,0,0,NA,NA,2021-08-09,9'9" from trail,NA,NA,NA,all
2021-144,47.5593,-122.251614,5,0,1.5,3,NA,NA,2021-08-09,4'1" from trail,NA,NA,NA,all
2021-145,47.559267,-122.251617,8,1.5,1.5,3,NA,NA,2021-08-09,37'8" from trail,NA,NA,NA,all
2021-146,47.559274,-122.25166,5,0,0,0,NA,NA,2021-08-09,26'9" from trail; 2 trunks with the same DBH,NA,NA,NA,all
2021-147,47.559277,-122.251875,38,0,0,1.5,NA,NA,2021-08-09,22'3" from trail,NA,NA,NA,all
2021-148,47.559321,-122.251864,28,0,0,0,NA,NA,2021-08-09,1' from trail,NA,NA,NA,all
2021-149,47.559332,-122.251894,3,0,0,0,NA,NA,2021-08-09,11'11" from trail,NA,NA,NA,all
2021-150 ,47.559279,-122.252023,20,0,0,0,NA,NA,2021-08-09,13'1" from trail,NA,NA,NA,all
2021-151,47.559359,-122.25188,16,0,0,1.5,NA,NA,2021-08-09,50'7" from trail,NA,NA,NA,all
2021-152,47.559338,-122.251983,29,0,0,1.5,NA,NA,2021-08-09,36'3" from trail,NA,NA,NA,all
2021-153,47.559261,-122.252442,27,0,0,1.5,NA,NA,2021-08-09,40' from trail,NA,NA,NA,
2021-154,47.559133,-122.252354,29,1.5,1.5,3,NA,NA,2021-08-09,22' from trail,NA,NA,NA,
2021-155,47.559165,-122.252501,27,1.5,1.5,1.5,NA,NA,2021-08-09,2' from trail,NA,NA,NA,
2021-156,47.559141,-122.252536,28,0,0,1.5,NA,NA,2021-08-09,24' from trail,NA,NA,NA,
2021-157,47.559113,-122.252661,14,1.5,0,1.5,NA,NA,2021-08-09,4' from trail,NA,NA,NA,
2021-158,47.559083,-122.252709,29,0,1.5,3,NA,NA,2021-08-09,4' from trail,NA,NA,NA,all
2021-159,47.559194,-122.252687,23,0,0,0,NA,NA,2021-08-09,snag 4' from trail,NA,NA,NA,all
2021-160,47.559182,-122.2528,16,0,0,0,NA,NA,2021-08-09,12' from trail,NA,NA,NA,all
2021-161,47.559134,-122.252798,7,0,0,0,NA,NA,2021-08-09,14' from trail,NA,NA,NA,
2021-162,47.559123,-122.25286,12,1.5,1.5,1.5,NA,NA,2021-08-10,30' from trail,NA,NA,NA,all
2021-163,47.559186,-122.252865,19,0,0,0,NA,NA,2021-08-09,5' from trail,NA,NA,NA,all
2021-164,47.559361,-122.252708,11,0,0,1.5,NA,NA,2021-08-11,15' from trail,NA,NA,NA,all
2021-164a,47.559366,-122.25272,6,0,0,0,NA,NA,2021-08-11,small snag,NA,NA,NA,all
2021-164b,47.559375,-122.252731,11,0,0,0,NA,NA,2021-08-11,small snag,NA,NA,NA,all
2021-165,47.559464,-122.252635,28,0,0,1.5,NA,NA,2021-08-11,29' from trail,NA,NA,NA,all
2021-166,47.559381,-122.252743,10,0,0,0,NA,NA,2021-08-11,34' from trail,NA,NA,NA,all
2021-167,47.559494,-122.252541,9,0,1.5,1.5,NA,NA,2021-08-11,4' from trail,NA,NA,NA,all
2021-168,47.559514,-122.252321,28,0,1.5,1.5,NA,NA,2021-08-11,16' from trail,NA,NA,NA,all
2021-169,47.559563,-122.252409,28,0,0,0,NA,NA,2021-08-11,27' from trail; snag,NA,NA,NA,all
2021-170,47.559602,-122.252491,19,0,1.5,3,NA,NA,2021-08-11,60' from trail,NA,NA,NA,all
2021-171,47.559626,-122.252296,40,0,0,0,NA,NA,2021-08-11,5' from trail; snag,NA,NA,NA,all
2021-172,47.559659,-122.252337,22,0,0,1.5,NA,NA,2021-08-11,48' from trail,NA,NA,NA,all
2021-173,47.55963,-122.251876,31,0,0,1.5,NA,NA,2021-08-11,13' from trail northeast,NA,NA,NA,all
2021-174,47.559595,-122.251842,26,0,0,0,NA,NA,2021-08-17,4' from trail; snag east,NA,NA,NA,all
2021-175,47.559465,-122.25186,34,0,0,0,NA,NA,2021-08-17,49' from trail; wsw CHECK,NA,NA,NA,all
2021-175b,47.559477,-122.251871,8,0,0,0,NA,NA,2021-08-17,10' nw from 175  CHECK,NA,NA,NA,all
2021-176,47.559555,-122.251649,13,0,0,1.5,NA,NA,2021-08-17,17' from trail; snag; east,NA,NA,NA,all
2021-177,47.559549,-122.251559,4,0,0,3,NA,NA,2021-08-17,28' from trail,NA,NA,NA,all
2021-178,47.559449,-122.251643,29,1.5,1.5,1.5,NA,NA,2021-08-17,3' from trail,NA,NA,NA,all
2021-179,47.559427,-122.251622,20,0,0,1.5,NA,NA,2021-08-17,1' from trail,NA,NA,NA,all
